"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"Infection Prevention and Control Practitioner , Registered Nurse. Statements on my Twitter account are my sole opinion.",454,15,327,41,NA,"Margie Parr","2017-02-01 01:23:57",TRUE,FALSE,"MargieParr1","Florida, USA","en",826601952847024128,0,FALSE,"http://pbs.twimg.com/profile_images/826919173708214274/SVlTUvM4_normal.jpg"
"Herbalist | Aspiring Botanist | Blogger | Photographer | Nature Lover | Foodie | Ferrant | Hippie",1417,165,31,474,"https://t.co/wQ4Wc9oGF4","Morgan Pencek","2016-08-26 01:00:44",FALSE,FALSE,"noturtypicalhip","Ohio, USA","en",768976437864960000,7,FALSE,"http://pbs.twimg.com/profile_images/885945073925464065/mmNKuvmS_normal.jpg"
"News.<ed><U+00A0><U+00BD><ed><U+00B8><U+008E> Technology, Entertainment, History, Music, Games, Science.
Sports Fan of Cowboys<ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086>, Florida State, Florida, Miami, Brewers, Milwaukee bucks.",9798,210,201,291,NA,"JPLAY aka JPY","2011-02-17 22:59:45",FALSE,FALSE,"jphuckinplay","Wisconsin, USA","en",253770243,30,FALSE,"http://pbs.twimg.com/profile_images/892768914303856644/DkTX1Xx2_normal.jpg"
"In 3 words I can sum up everything I've learned about life : It goes on -Robert Frost",465,179,432,1150,NA,"wubbdubbs<ed><U+00A0><U+00BE><ed><U+00B4><U+0093>","2017-06-13 03:34:08",FALSE,FALSE,"WubbDubbs","New Jersey, USA","en",874469912584093696,0,FALSE,"http://pbs.twimg.com/profile_images/954895890413707264/YKiKed1q_normal.jpg"
"Digital Storyteller | Lifestyle + Motherhood + Wellness <U+270D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> | <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> <U+25B9>Green Beauty <ed><U+00A0><U+00BC><ed><U+00BC><U+00B1> <U+25B9>Travel <U+2708><U+FE0F> <U+25B9>Good Lit <ed><U+00A0><U+00BD><ed><U+00B3><U+009A>              This is the highlight reel. Real life<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>",2558,366,837,582,"https://t.co/K6m3AEc0Vv","Kimberly Fe'Lix","2010-02-22 17:07:47",FALSE,FALSE,"Kimberly__FeLix","District of Columbia (Adjacent), USA","en",116492173,25,FALSE,"http://pbs.twimg.com/profile_images/929737632627732480/yGHgo8BV_normal.jpg"
"Morning Operations; Current Contributor to @DailyBeast and I’m a still obsessed news journalist and <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>’er of coffee!",328,36,40,217,"https://t.co/bD20qpYUld","Matt Briscoe","2017-02-12 03:21:57",FALSE,FALSE,"mattbriscoenews","Texas, USA","en",830617911815397376,2,FALSE,"http://pbs.twimg.com/profile_images/967725262036234240/EOmRtZ7D_normal.jpg"
"biologist. infectious disease ecology, evolution, and epidemiology.",3351,582,2027,613,"https://t.co/piHdmvruWw","Jessie Abbate","2009-04-03 05:59:01",FALSE,FALSE,"jessieabbate","montpellier, france (& VA USA)","en",28514239,53,FALSE,"http://pbs.twimg.com/profile_images/750046838338838528/PIVgauYh_normal.jpg"
"#Father #Unsigned #wordsmith #recordingartist   #LOE  Bookings Features & ghost writing 980-833-2018 Mike B. @LOEMGMT @B_Bully @Va_Slim  @MACKAZOE #BLOWITUP #95",5525,6550,1427,2622,"https://t.co/c8RdA2koll","<ed><U+00A0><U+00BD><ed><U+00B3><U+00B6>K.E.V<ed><U+00A0><U+00BD><ed><U+00B3><U+00B6>","2012-07-04 15:20:20",FALSE,FALSE,"Mr_434","Flu-Sick USA ","en",626542786,12,FALSE,"http://pbs.twimg.com/profile_images/963274376262180865/C9GAaZHv_normal.jpg"
"If you are gnawed by conscience, beat out it teeth! And let it gently sucks round you. #Friendly #problem #solver.",4846,887,380,1806,"https://t.co/KvcPTWhQkz","NY Hex","2013-10-03 09:45:25",FALSE,FALSE,"nyhexozew","Manchester and USA","en",1930079226,97,FALSE,"http://pbs.twimg.com/profile_images/378800000547521273/10334a742cfc561b6460fc2eacc70f38_normal.jpeg"
"I can relate to any one i can allways understand and communicate cleanly to common every day. American parroits. Also being a vet myself i can relate",14302,866,2973,4303,NA,"Terry Criss","2018-01-09 04:55:19",FALSE,FALSE,"TerryCriss7","Alabama, USA","en",950591794848378880,0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"A resolute voice for active, retired and prospective NFL Players.",47905,1236,5334,127,"http://t.co/lDGeQcsTCy","NFLCSFacts","2014-10-08 17:31:15",FALSE,FALSE,"NFLObjectors","USA","en",2816048001,153,FALSE,"http://pbs.twimg.com/profile_images/526093308389359616/zJ77TAjE_normal.jpeg"
"Mmm... cake! It’s me, the me I wish I could be all the time. No filter. No apologies. I need a fucking vacation.",974,52,3998,111,NA,"BatShitSean","2017-12-21 03:07:17",FALSE,FALSE,"batshitsean","Scottsdale, Arizona, USA","en",943679237625491456,0,FALSE,"http://pbs.twimg.com/profile_images/959038831407198208/thwNBdwC_normal.jpg"
"ARSENAL <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>",6424,958,5929,883,NA,"Gbenga","2016-01-18 20:34:46",FALSE,FALSE,"olaniyanbenga","New York, USA","en",4825340686,2,FALSE,"http://pbs.twimg.com/profile_images/917893599349665793/lroH3Tfe_normal.jpg"
"Husband. Father. Raising my children to eat #healthy while following a biblical worldview. Master Lego builder & tea party host. #HealthyEating",4419,4556,1187,3259,"https://t.co/wgdw0lcbkR","John Walsh","2015-05-08 15:44:15",FALSE,FALSE,"FatherInstructs","North Carolina, USA","en",3242083816,131,FALSE,"http://pbs.twimg.com/profile_images/763893045502681088/ONLSsBa6_normal.jpg"
"Natural Health & Beauty Care! Try the Power of Healing with our All Natural Products! Sold Online! #AllNatural #Health",343,16,12,45,"https://t.co/rb6P5NfT84","Ancient Infusions","2015-11-04 14:49:11",FALSE,FALSE,"AncientInfusion","New Jersey, USA","en",4124940080,0,FALSE,"http://pbs.twimg.com/profile_images/968294349300789248/kXpyKXw1_normal.jpg"
"Music..where it comes from, what it is, what it does..it almost can't be defined but its a good thing & when it's pure, it's a beautiful thing.  Maybe that's it",11132,9,372,12,NA,"linda switzer","2012-05-01 17:13:05",FALSE,FALSE,"bluemoonkyTW"," kentucky (ky) USA","en",568378171,0,FALSE,"http://pbs.twimg.com/profile_images/435408313790918656/C4ytWlER_normal.jpeg"
"Lifestyle & Food thephotographer4you® is a registered trademark - All Rights Reserved",110654,2139,85,2378,"https://t.co/vKTx7ZaKGS","thephotographer4you®","2007-10-19 00:49:28",FALSE,FALSE,"DRandall","Earth, USA","en",9532792,509,FALSE,"http://pbs.twimg.com/profile_images/819203824267227137/KRun0pFC_normal.jpg"
"The Georgia Coalition for Vaccine Choice, is a group of Georgians asserting their right to decide which vaccines they will take and which they will decline.",5628,374,1550,211,"https://t.co/7MEvPxyUgt","GAVaccineChoice","2017-01-11 17:30:14",FALSE,FALSE,"GAVaccineChoice","Georgia, USA","en",819234979511205888,6,FALSE,"http://pbs.twimg.com/profile_images/819238492110782470/yMbB1uXe_normal.jpg"
"100% Matching Credit up to $150 during December for first order. Over 2500 Non-GMO foods and products at https://t.co/YGA7rbKEtn",56047,4298,588,5003,"https://t.co/YGA7rbKEtn","Rocky Mtn Naturals","2016-09-19 08:59:52",FALSE,FALSE,"RkyMtnNaturals","Colorado, USA","en",777794322880077824,117,FALSE,"http://pbs.twimg.com/profile_images/829192764101361665/c6SSZ6dn_normal.jpg"
"alska is a tool to help caregivers and patients better manage care.  https://t.co/3x9lO5TbtY  https://t.co/C0EWGbVyOw",436,68,73,189,"https://t.co/5zlmYlrpk4","alska","2015-09-23 11:35:25",FALSE,FALSE,"alska_care","Minnesota, USA","en",3659095214,6,FALSE,"http://pbs.twimg.com/profile_images/646650056574038017/aiMuhGoi_normal.png"
"",353,45,514,100,"http://t.co/X3xqs4qTqj","Ofer Harel","2015-08-12 23:26:39",FALSE,FALSE,"Ofer_Harel","Connecticut, USA","en",3313841335,0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"The Georgia Coalition for Vaccine Choice, is a group of Georgians asserting their right to decide which vaccines they will take and which they will decline.",5628,374,1550,211,"https://t.co/7MEvPxyUgt","GAVaccineChoice","2017-01-11 17:30:14",FALSE,FALSE,"GAVaccineChoice","Georgia, USA","en",819234979511205888,6,FALSE,"http://pbs.twimg.com/profile_images/819238492110782470/yMbB1uXe_normal.jpg"
"We are two high school students expanding our taste buds by trying new and exotics foods in culturally diverse, Southern California.",196,158,42,162,"https://t.co/ra2da5784d","Foo D Finders","2017-09-07 03:34:35",FALSE,FALSE,"FooFinders","California, USA","en",905635379641966592,1,FALSE,"http://pbs.twimg.com/profile_images/908876811362115584/5RjcOono_normal.jpg"
"Just here to ask some questions.",21465,319,27067,1005,NA,"Cory Kemp","2016-09-13 22:58:55",FALSE,FALSE,"PertinentQs","Washington, USA","en",775831150686113792,9,FALSE,"http://pbs.twimg.com/profile_images/775835899741417473/_6j7YsQ-_normal.jpg"
"Married 2 Lopaka<U+2764>kids & g-ma 2-9 little ladies
Author: The Monster in Lulus Head
Protect our National Forests or lose them 
Trump? Uhg. I can't.
US News #resist",1701,478,11262,590,NA,"Lopakalulu","2017-03-03 01:43:36",FALSE,FALSE,"GuesLori","Utah, USA","en",837478531911180288,0,FALSE,"http://pbs.twimg.com/profile_images/937689667968778240/r6mle3bq_normal.jpg"
"Grateful Mom, Wife, Lifestyle + Travel Blogger, Brand Ambassador & the voice behind Mommy Snippets: #Parenting, #Lifestyle, #Faith, #Travel, #Food #SouthTexas",29571,19629,761,11903,"https://t.co/zNbQVKr1fI","Marina John","2009-03-25 21:00:05",FALSE,FALSE,"mommysnippets","Texas, USA","en",26589876,520,FALSE,"http://pbs.twimg.com/profile_images/763136204682301440/z01mR-KL_normal.jpg"
"Slightly mental.",1435,11,572,157,NA,"delayogame","2017-05-16 23:36:05",FALSE,FALSE,"delayOgame","USA","en",864625531332853760,0,FALSE,"http://pbs.twimg.com/profile_images/864632363887640576/P4uoF1CI_normal.jpg"
"#Conservative Catholic,<ed><U+00A0><U+00BD><ed><U+00B2><U+0092> mom, grandmom, wife. Riding the #MAGA TRAIN <ed><U+00A0><U+00BD><ed><U+00BA><U+0082> Politics, Reading and Great Books #BuildTheWall #TrumpTrain #BackTheBlue <ed><U+00A0><U+00BD><ed><U+00BA><U+00AB> SHARIA LAW",20329,2214,33235,2319,NA,"Nightowl","2017-08-10 05:40:27",FALSE,FALSE,"nightOwlbookLvr","Pennsylvania, USA","en",895520196382863360,2,FALSE,"http://pbs.twimg.com/profile_images/962106841567252482/N39hfvFJ_normal.jpg"
"Retired, Conservative, Househusband, Information Junkie Followed by Gen. Flynn: Leslie Marshall: Emerald Robinson OANN:",76819,2127,5154,4201,NA,"Rddock","2016-10-03 18:43:53",FALSE,FALSE,"iamshort2015","South Carolina, USA","en",783014727903481856,75,FALSE,"http://pbs.twimg.com/profile_images/783128856400191489/NoKKSamo_normal.jpg"
"",766,14,474,41,NA,"Jay Pellegrino","2012-11-28 15:46:01",FALSE,FALSE,"JayPellegrino76","New Jersey, USA","en",976380024,0,FALSE,"http://pbs.twimg.com/profile_images/837469355717840896/wnAekEfK_normal.jpg"
"<ed><U+00A0><U+00BC><ed><U+00BE><U+0080>Michigan based Youtuber and blogger<ed><U+00A0><U+00BC><ed><U+00BE><U+0080>",5446,273,1566,265,"https://t.co/xHPTP8Uu0w","Sélah","2014-07-22 21:18:07",FALSE,FALSE,"selahhhhhhh","Michigan, USA","en",2670702439,3,FALSE,"http://pbs.twimg.com/profile_images/941077546938044416/z5ZKsZjB_normal.jpg"
"Vintage handbags seller",48621,586,11508,391,"https://t.co/pYW5L5bfu1","wanda","2015-09-29 18:35:29",FALSE,FALSE,"wandaviswa","Florida, USA","en",3817084823,1080,FALSE,"http://pbs.twimg.com/profile_images/935475699674157057/YwGRSVUX_normal.jpg"
"Groundbreaking Oral Health Product. Disposable toothbrush shield. 99.9% proven barrier against bacteria.

Facebook: https://t.co/gM8xFgnQGP",3009,4475,4648,4850,"http://t.co/jWiCBDGmDc","IntelliDent","2013-08-26 20:16:58",FALSE,FALSE,"IntelliDent1","Made in the USA","en",1702867363,83,FALSE,"http://pbs.twimg.com/profile_images/671131365606359040/8nsB43Tf_normal.jpg"
"SSE Mid-Atlantic / Enterprise @ Nutanix. | Dad. Husband. Blockchain enthusiast. OSS Advocate. Skydiver. Culinary Adventurer. Views are my own.",683,341,307,655,"http://t.co/Yv8HawUTZL","Paul Peeler","2009-03-23 15:06:35",FALSE,FALSE,"paulpeeler","Charlotte, NC - USA","en",26017336,47,FALSE,"http://pbs.twimg.com/profile_images/459329458151772160/vtINyo0Z_normal.jpeg"
"MPH, BSN",279,49,27,176,NA,"Adnan Almouazzen","2015-02-24 16:37:19",FALSE,FALSE,"AdnanAdnanrola","California, USA","en",3039953659,3,FALSE,"http://pbs.twimg.com/profile_images/887472732421607426/HkWvgiRr_normal.jpg"
"We are Treecologists providing tree care services to improve the health of your trees & shrubs. #treecare #treeservices #treetrimming #arborist #treeplanting <ed><U+00A0><U+00BC><ed><U+00BC><U+00B3>",388,451,469,427,"https://t.co/1hp3b21lwS","Leaf & Limb","2010-01-29 19:11:05",FALSE,FALSE,"LeafLimb","Raleigh, NC, USA","en",109639406,14,FALSE,"http://pbs.twimg.com/profile_images/887790711302635520/JTERXhi-_normal.jpg"
"Enterprise Security is a technology magazine that speaks about security solutions.",2186,13614,1,1694,"https://t.co/HOj2lZYo5q","EnterpriseSecurity","2016-04-19 07:04:58",FALSE,FALSE,"EPSecurityMag","California, USA","en",722320067099103232,50,FALSE,"http://pbs.twimg.com/profile_images/722322682461618177/HXiUpiZc_normal.jpg"
"TSNews is a general and entertainment news channel.
We are bringing you all the latest and most interesting news around the world.",1861,1,9,13,NA,"TSNews","2017-11-17 17:27:01",FALSE,FALSE,"TSNews05502266","New York, USA","vi",931574407167741952,0,FALSE,"http://pbs.twimg.com/profile_images/931579568737083393/Ahc7Rwem_normal.jpg"
"Mom of two beautiful kids, balancing building a business with raising a family. Join us as we celebrate!  #momblog #celebrate
https://t.co/ZnfmeP5YYF",87387,14161,558,11497,"https://t.co/ZnfmeP5YYF","Simply Mom","2016-08-08 11:38:37",FALSE,FALSE,"mommashelping","Mississippi, USA","en",762613982679138304,1204,FALSE,"http://pbs.twimg.com/profile_images/762634845260394500/qYHGGf5i_normal.jpg"
"",16151,2491,31685,2741,"https://t.co/tNN3TpIOtI","Beam <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>","2015-08-09 22:19:52",FALSE,FALSE,"ADeplorableBeam","USA","en",3411263883,3,FALSE,"http://pbs.twimg.com/profile_images/950886878240178177/o8g3vCl-_normal.jpg"
"Im just a hard working full time momma that is blessed. I can be at home all day long with my kids and still earn money  all from my phone. Ask me how!",8,1,0,4,NA,"FarrieBossMother","2018-03-05 00:15:34",FALSE,FALSE,"FarrieBossMoM","Virginia, USA","en",970452724440535040,0,FALSE,"http://pbs.twimg.com/profile_images/970455211188932609/ApmvRmL9_normal.jpg"
"Author, Leadership: Past, Present & Future",23970,1458,141,899,"https://t.co/gFIALcxQXM","Carlos M. Rivera","2016-01-30 03:42:30",FALSE,FALSE,"LeadershipPPF","USA","en",4833240020,76,FALSE,"http://pbs.twimg.com/profile_images/693279425790488577/VW-9MHzx_normal.jpg"
"#NonDuality;#Wholeness;#ThisIsIt;#Love;<U+262F><U+262E><U+267E><U+269B>#Existence;#NonExistence;#EveryWhere;#NoWhere;#Everything;#Nothing;Tweets Are Solely My Ego & RTs/<U+2764>s not endorsement.",7633,572,756,1719,"https://t.co/tk36jZM2eO","Robert E. Lehman","2010-05-26 10:19:52",FALSE,FALSE,"Robert_E_Lehman","Virginia - USA","en",148298309,56,FALSE,"http://pbs.twimg.com/profile_images/951800438222983168/adZbjmV0_normal.jpg"
"Love America, love life and live one day at a time",14897,699,15770,773,NA,"wendy pool","2011-02-28 23:16:45",FALSE,FALSE,"baaambi85","USA","en",258995059,4,FALSE,"http://pbs.twimg.com/profile_images/885593095047450626/oQD9N_nd_normal.jpg"
"Books Entertainment Fashion & Beauty Fitness & Wellness Food General News Lifestyle Movies News Politics US News Television",4148,34,4629,157,NA,"Ruby Butler","2017-07-30 22:53:50",FALSE,FALSE,"RubyBut62864046","Kentucky, USA","en",891793989644537856,0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"CoastalMED DPC is a work in progress, a DPC IM practice concept to provide outstanding, comprehensive, individualized care for an affordable monthly fee.",262,28,458,42,NA,"CoastalMED DPC","2017-08-26 21:13:21",FALSE,FALSE,"CoastalMEDDPC","Florida, USA","en",901553173185404928,0,FALSE,"http://pbs.twimg.com/profile_images/963617390402535424/MY39f8xU_normal.jpg"
"Creekview Nurse @Creekvw_Tweets #Middierising",45,27,512,39,NA,"Nurse Kim","2017-08-16 02:20:17",FALSE,FALSE,"Nurse_Kim_","Ohio, USA","en",897644148509073408,0,FALSE,"http://pbs.twimg.com/profile_images/965939244500910081/iZ95lTS-_normal.jpg"
"X Special  Forces-Former Action Guy- Likes everything outdoors.",49462,881,28838,620,NA,"Roger L.Routh","2017-02-02 20:53:25",FALSE,FALSE,"routh_l","Oklahoma, USA","en",827258643905077248,5,FALSE,"http://pbs.twimg.com/profile_images/853955948922064896/3nD-V-rA_normal.jpg"
"Left of Liberal, Truth over Party, Hippie, Save the Planet -New Technology, Anti War & Deep State",53428,661,25799,443,NA,"Marsha Elam","2016-02-20 23:35:35",FALSE,FALSE,"marzhanel","New Mexico, USA","en",701188479305166848,42,FALSE,"http://pbs.twimg.com/profile_images/817450468708225025/UPGBTlCL_normal.jpg"
"Professional Business Services Provider and International Business Consulting for the Corporate Industry. For Visas, Expedited Passports & Intn'l Docs Services.",803,355,1020,1559,"http://t.co/R3LdPAFJ2J","Andy Smiley","2011-12-07 05:48:35",FALSE,FALSE,"AndySmiley1","USA","en",430454667,4,FALSE,"http://pbs.twimg.com/profile_images/958890621082595328/e2LGGOVD_normal.jpg"
"I love sharing and educating others what natural solutions have changed my life and how you can get started.",67,29,3,73,"https://t.co/F1G0DdOHkS","anoint with Gods creation","2018-02-04 00:28:37",FALSE,FALSE,"anointedGodscre","Pennsylvania, USA","en",959946758557192192,0,FALSE,"http://pbs.twimg.com/profile_images/959991891944267776/Td1AhmU7_normal.jpg"
"ListenGive connects #Humanity with whats important to them | #Innovation #Youth #Arts #Culture #Music #Tourism #GlobalGoals #SocialImpact | RTs <U+2260> Endorsements",28513,1654,8334,4361,"https://t.co/zoCrrSxPaW","ListenGive","2011-04-01 20:54:37",FALSE,FALSE,"listengive","USA | Europe | Asia | GLOBAL <U+2708>","en",275708863,203,FALSE,"http://pbs.twimg.com/profile_images/898554339555520512/GpSRQl0t_normal.jpg"
"white and nerdy",26,31,45,160,NA,"Larissa Keller","2018-01-13 02:39:02",FALSE,FALSE,"larissa_akeller","California, USA","en",952007049260408832,1,FALSE,"http://pbs.twimg.com/profile_images/952015000498929665/YBmvAKJv_normal.jpg"
"Lover of all things social media, content marketing, & communications. Poster of quotes that are not my own.",43694,510,2868,1609,NA,"Paul Rees","2017-04-09 21:02:50",FALSE,FALSE,"PaulRees45","Georgia, USA","en",851178612829061120,42,FALSE,"http://pbs.twimg.com/profile_images/853018833157668864/duC_Bxf0_normal.jpg"
"Search consultant - entrepreneur, strategist, start-ups, new technology ventures",40469,678,2782,1804,NA,"Steven Davidson","2017-04-09 11:25:48",FALSE,FALSE,"StevenDavidso3","California, USA","en",851033398747566080,42,FALSE,"http://pbs.twimg.com/profile_images/853007835994611713/QB25tOya_normal.jpg"
"",8,9,12,35,NA,"a.khadija","2018-01-20 23:04:25",FALSE,FALSE,"akhadija4","Florida, USA","en",954852142686392320,0,FALSE,"http://pbs.twimg.com/profile_images/954908651566792704/7qcO_o5F_normal.jpg"
"I'm just a girl living in captivity",16510,315,3179,481,NA,"Tigerlily","2015-04-13 21:06:39",FALSE,FALSE,"its_a_jungle_","USA","en",3153564774,105,FALSE,"http://pbs.twimg.com/profile_images/885583990178107396/WyBjNTha_normal.jpg"
"Dale Loberger writes about High Performance Emergency Medical Services to help improve the effectiveness of clinical care with a focus on economic efficiency.",51769,13366,16746,781,"http://t.co/OKtUEgj6Ll","High Performance EMS","2011-01-06 18:22:54",FALSE,FALSE,"hp_ems","USA","en",234844432,326,FALSE,"http://pbs.twimg.com/profile_images/931533326409715712/bwS9QCwh_normal.jpg"
"Owner of Ally+kat Blogger. Plus size girl. 
lifestyle blogger. 

<U+21A3> Ally+Kat <U+21A2>",995,317,2720,297,"https://t.co/PMr5LL3nqX","Ally+Kat","2017-06-13 05:02:10",FALSE,FALSE,"Allyvkat","Florida, USA","en",874492065589190656,2,FALSE,"http://pbs.twimg.com/profile_images/956238835880472578/olO2e7PS_normal.jpg"
